ID,Last Contact,City State,Location,Sex,Missing Age From,Missing Age To,Current Age From,Current Age To,Ethnicity,Height,Weight,Hair Color,Left Eye Color,Right Eye Color,Clothing,Physical Features
MP60805,2019-03-09,"Indianapolis,, Indiana","(39.9345607, -86.0287921)",Female,0,0,6,6,White / Caucasian,23.0,16.0,Black,Hazel,Hazel,,Other distinctive physical characteristic: She has a birthmark on her shoulder close to her neck.
MP87750,2021-12-04,"Grantsburg, Indiana","(38.2588187, -86.48449140000001)",Male,26,26,29,29,,63.0,100.0,Black,Brown,Brown,,Tattoo: Face and neck tattoos.
MP59776,1931-03-04,"Monticello, Indiana","(40.7453169, -86.7647343)",Female,22,22,116,116,White / Caucasian,60.0,100.0,,,,,
MP10421,2008-12-16,"Terre Haute, Indiana","(39.4667034, -87.41390919999999)",Male,33,33,49,49,White / Caucasian,70.0,150.0,Brown,Brown,Brown,,"Tattoo: Numerous, see photos."
MP7851,1993-08-30,"Terre Haute, Indiana","(39.4667034, -87.41390919999999)",Male,20,20,51,51,Black / African American,67.0,130.0,Brown,Brown,Brown,,"Piercing: Small earring in right side of nose
Tattoo: Unknown tattoo on unknown arm"
MP10206,2011-03-21,"Munster, Indiana","(41.5443613, -87.50990569999999)",Female,70,70,84,84,,60.0,130.0,Brown,Brown,Brown,,
MP405,2004-02-04,"Woodburn, Iowa","(41.0119428, -93.5991047)",Male,63,63,84,84,White / Caucasian,68.0,140.0,Gray or Partially Gray,Brown,Brown,"Black ""Carhartt"" bib overalls, ""Wrangler"" jeans, light green jacket.
Black boots","Tattoo: Tattoo of the names ""Billy LeRoy,"" ""Rhonda Lee,"" and ""Pamala Sue"" on right forearm, tattoo of an ""eagle"" and boat ""anchor"" on forearm."
MP396,2001-07-04,"Dubuque, Iowa","(42.5005583, -90.66457179999999)",Female,21,21,44,44,White / Caucasian,66.0,115.0,Blond/Strawberry,Brown,Brown,"White ""Polo"" T-shirt, tan shorts
Blue soft contact lenses
Black sandles
Gold chain with opal pendant, opal ring, toe ring.","Piercing: Double piercing in each ear.
Scar/mark: Mole near navel"
MP402,1995-06-27,"Mason City, Iowa","(43.1535728, -93.20103669999999)",Female,27,27,56,56,White / Caucasian,63.0,110.0,Blond/Strawberry,Brown,Brown,,
MP9825,2005-05-22,"Alton, Iowa","(42.9874869, -96.01057349999999)",Male,4,4,24,24,White / Caucasian,36.0,40.0,Sandy,Hazel,Hazel,A green tank top and denim shorts,
MP6499,1992-03-16,"Keota, Iowa","(41.3639015, -91.9537859)",Male,17,17,49,49,White / Caucasian,74.0,145.0,Brown,Brown,Brown,,"Piercing: Pierced left ear
Scar/mark: Moles on back, one inch scar on right wrist
Other distinctive physical characteristic: Wears glasses"
MP5423,1989-05-06,"Woodbine, Iowa","(41.73400729999999, -95.7074104)",Female,31,31,67,67,White / Caucasian,67.0,130.0,Brown,Blue,Blue,,Scar/mark: Purple-colored scar two inches below left elbow; Scar near left eye
MP5790,1986-03-29,"Des Moines, Iowa","(41.6005448, -93.6091064)",Male,13,13,52,52,White / Caucasian,60.0,85.0,Brown,Blue,Blue,"Marc was last seen wearing a blue t-shirt and blue jean shorts.
He was wearing white socks and gray tennis shoes with velcro tabs.",Scar/mark: Small scar on the top of his head
MP4491,1996-01-05,"Sioux City, Iowa","(42.4999942, -96.40030689999999)",Male,34,34,63,63,White / Caucasian,70.0,160.0,Black,Brown,Brown,,Scar/mark: He has a scar above both eyebrows.
MP17090,2007-10-16,"Fort Dodge, Iowa","(42.4974694, -94.16801579999999)",Male,44,44,61,61,White / Caucasian,67.0,192.0,Black,Brown,Brown,Blue jeans with black jacket and plaid long sleeved shirt with gray t-shirt underneath,Tattoo: Left arm.
MP17054,1993-08-25,"Cedar Rapids, Iowa","(41.9778795, -91.6656232)",Female,50,50,81,81,White / Caucasian,63.0,150.0,Brown,Green,Green,"Carrying a Walkman with earphones
Last seen wearing white shorts, a multicolored blouse, black hose
High-top sneakers",
